payment_id,customer_id,amount,payment_method,failure_reason,previous_payments,previous_failures,days_since_last_payment,subscription,hour,is_weekend,recovered
PAY00001,CUST2620,7396,card,authentication_failed,8,3,28,0,23,0,1
PAY00002,CUST2772,48640,card,technical_error,13,0,3,0,6,0,0
PAY00003,CUST2070,39553,card,technical_error,6,8,53,0,14,1,0
PAY00004,CUST0027,49829,upi,authentication_failed,13,5,35,0,6,1,1
PAY00005,CUST0419,6178,wallet,network_timeout,11,5,77,1,1,1,1
PAY00006,CUST2197,8280,wallet,network_timeout,17,4,80,1,18,0,1
PAY00007,CUST2886,4658,card,authentication_failed,7,4,10,0,3,1,1
PAY00008,CUST1139,29814,netbanking,insufficient_balance,11,5,26,1,22,0,0
PAY00009,CUST2496,41713,upi,technical_error,23,3,20,1,12,1,1
PAY00010,CUST2622,45199,upi,authentication_failed,10,0,29,0,10,1,1
PAY00011,CUST1097,4437,upi,technical_error,28,5,27,1,12,1,1
PAY00012,CUST0586,17459,upi,insufficient_balance,23,8,68,1,23,1,0
PAY00013,CUST2391,26275,netbanking,insufficient_balance,4,8,63,0,1,0,1
PAY00014,CUST0627,41220,upi,authentication_failed,13,1,49,1,19,1,1
PAY00015,CUST2168,16576,card,authentication_failed,23,1,87,1,20,1,1
PAY00016,CUST0457,19334,wallet,insufficient_balance,14,0,33,0,16,0,1
PAY00017,CUST2562,19658,upi,insufficient_balance,11,2,69,0,19,1,1
PAY00018,CUST2002,1376,card,expired_card,28,4,30,0,7,0,1
PAY00019,CUST0351,48066,wallet,network_timeout,24,8,16,0,21,1,1
PAY00020,CUST2252,10921,netbanking,technical_error,27,6,27,0,22,1,1
PAY00021,CUST1635,44119,netbanking,bank_decline,28,8,57,0,7,0,0
PAY00022,CUST0263,22256,card,technical_error,17,3,75,0,0,0,1
PAY00023,CUST2900,41459,card,insufficient_balance,2,0,42,0,16,0,1
PAY00024,CUST1141,43942,wallet,insufficient_balance,17,2,73,1,7,1,1
PAY00025,CUST1668,12578,card,network_timeout,21,6,45,1,13,1,1
PAY00026,CUST2987,3650,card,network_timeout,12,5,13,0,6,0,0
PAY00027,CUST2197,29500,upi,bank_decline,5,4,59,0,2,1,0
PAY00028,CUST2255,6516,card,authentication_failed,17,0,11,0,5,1,1
PAY00029,CUST1990,31646,upi,bank_decline,28,0,21,1,0,1,1
PAY00030,CUST1087,29919,netbanking,bank_decline,22,8,84,1,4,0,0
PAY00031,CUST1216,14367,card,technical_error,23,8,7,1,1,0,1
PAY00032,CUST2393,31346,upi,network_timeout,30,8,10,0,2,0,1
PAY00033,CUST2766,15514,wallet,network_timeout,30,3,74,0,19,0,1
PAY00034,CUST1718,43181,netbanking,expired_card,6,5,30,1,12,0,0
